pair,AT0,AT1,AT2,AT2.proliferating,Basal.resting,Club..nasal.,Club..non.nasal.,Deuterosomal,Goblet..bronchial.,Goblet..nasal.,Goblet..subsegmental.,Hillock.like,Ionocyte,Multiciliated..nasal.,Multiciliated..non.nasal.,Neuroendocrine,pre.TB.secretory,SMG.duct,SMG.mucous,SMG.serous..bronchial.,SMG.serous..nasal.,Suprabasal,Tuft,cluster_sk_non_apobec,infer_coo_non_apobec_sigp
1594,0.966669888446658,0.934409929392963,1.01754073157229,1.02237461453779,1.0174611308522,0.947604165803563,0.946452627946224,1.0171843046964,0.951268231342872,0.967712830548856,0.952835562660079,1.04106197567499,0.956848348116403,1.00920513438025,1.03627623049071,1.00705096621349,1.01288734803011,0.995504969824415,1.01999090860739,1.0275261480492,1.02539651134073,0.975615211768077,0.934333596559806,1,Ambiguous
1596,0.978141114789181,1.00614856153632,1.0099753205467,1.0097313635598,1.0437022780384,0.955860327221671,0.970298054855115,0.935557196457943,1.00501241167111,0.873638186009985,1.0480638182676,1.03489635084491,0.945653813621945,0.972667366372355,0.979532439519978,1.00653635309088,1.02949440251991,1.10933876793355,1.00323492287544,1.16263105101609,1.18006809387423,1.04118052205508,0.993471792092531,1,Ambiguous
1678,0.743968383123966,0.869355311128087,0.780982272215942,0.765411168907962,1.10909765038412,1.13230441186362,1.18894427565302,1.0530932482789,1.19059876834121,1.10007554296697,1.16899453560324,1.07967111731498,0.964226603093559,1.01727863085727,1.02313785996064,0.991347647130503,0.852250907166354,1.13923101649557,1.05148568910972,1.0699609162885,1.04699382206863,1.19404405875495,1.00912992626373,2,Distal Lung
1680,0.837113628530609,0.893332231992159,0.943370062369085,0.948527665117867,1.01198416855691,0.7907495912603,1.02562682734568,1.11063280641682,1.07669186374849,0.847245157303393,1.11100748001262,0.893944960864275,0.86415201672167,1.01952761992141,1.03748251395605,0.949331012312039,0.924930597653615,1.06570938121097,1.10503967861309,1.27023052196582,1.23520499295707,0.885785567336301,0.994851006208519,1,Ambiguous
2655,0.793265816941641,0.881553964354583,0.819589778905888,0.825580936861271,1.06904620815745,1.05134841267098,1.22931698432084,0.991069876327922,1.11912772793199,1.12251953634699,1.15247299821281,0.996811168397598,1.01653639254519,0.983503401925921,0.984424721194272,1.05075108466899,1.087929783003,1.12515281741185,1.15886631682548,1.06250481822965,1.12374260365604,1.02347685810565,1.04847336604992,2,Distal Lung
2656,0.752146685082727,0.865878261193284,0.792824837761826,0.775752894283667,1.05852671789446,1.0720618442851,1.15715515295872,1.01961697856954,1.09573660787368,1.07656515448507,1.0892508910673,1.04138952345331,0.96899500087717,1.02729290024138,1.03226618000739,1.04467756438853,0.805672280182394,1.11830880137664,1.12229910991402,1.10798859140516,1.15597557618425,1.0962907281656,1.00609160324668,2,Distal Lung
2659,0.779086515342669,0.837473347490129,0.804330369388651,0.747651185820189,1.18616955600939,1.14194977817436,1.28143187702618,0.963407167957323,1.19856391356073,1.076922117647,1.17703570521137,1.00289838959878,1.0020714142014,0.99128707736795,0.99745902808636,1.00786038269247,0.979488474127613,1.14153467410152,1.10081651535526,1.04280933541463,1.10837621060342,1.2165579643686,1.05063032761499,2,Distal Lung
2665,1.02972569567254,1.02441297472921,1.00751807728794,0.996114474416435,0.997022653035722,1.0212435216517,1.02205958283079,0.978884849367408,0.959763945730264,0.949197366147357,1.09684102098056,0.964089609837724,0.872660204941285,1.00723174601475,1.01164300795607,0.923758466061039,0.961371800433229,1.01261199244854,1.13364618244507,1.13204604246724,1.10360158679994,0.99855803064434,0.774377400797118,1,Ambiguous
2666,1.02360433926078,1.02773166253862,0.993720661184726,0.970579006798799,0.860449701753102,0.887926539344959,0.820089334722335,1.10296787791948,0.942048391938994,0.984993978003086,0.874594003644854,0.826729184779219,0.951059932152264,1.00081744547143,0.992899857688408,1.08551352235583,1.15728386739241,0.958872892751691,1.10540817450025,1.12419567659859,1.05099806160904,0.904977373721323,0.968169446476864,3,Proximal Lung
2668,0.805202458426499,0.913040641025199,0.874291910336646,0.875755253250887,1.06938486386461,1.05555363566517,1.10371128223721,0.98047613557196,1.09979892175416,1.0029828906471,1.09966287003487,1.09954392208618,0.990200693622344,1.00482369932118,1.01464302996438,1.05278698270105,0.838756737057442,1.11565043281125,1.02758456670011,1.02023587670959,1.07294344763444,1.16127183247792,0.948346672781964,2,Distal Lung
3398,0.68238533550947,0.75724189829777,0.766538578819698,0.719235539145499,1.10061518824486,1.14290342390253,1.28043489446772,1.08094695367475,1.24259897958652,1.19952361804124,1.11668414060185,0.936512542737442,0.958226454848412,1.04338948841514,1.03509976676624,1.07511532580862,0.684705635333606,0.957406045254409,1.020293769388,1.00396854527266,1.03979593424935,1.2668125088919,1.22036506361228,2,Distal Lung
